Annee;Mois;Categorie;Montant
2023;sep;Dotations aux Amrt & Prov;43464071.0
2023;sep;Frais de personnel;44016035.0
2023;sep;Frais divers de gestion;7729671.0
2023;sep;Impôts et taxes;3275469.0
2023;sep;Transports et déplacements;477875.0
2023;sep;Travaux, fournitures et services extérieurs;40411496.0
2023;oct;Dotations aux Amrt & Prov;53977929.0
2023;oct;Frais de personnel;44256002.0
2023;oct;Frais divers de gestion;45191707.0
2023;oct;Impôts et taxes;28542783.0
2023;oct;Transports et déplacements;771000.0
2023;oct;Travaux, fournitures et services extérieurs;44315636.0
2023;nov;Dotations aux Amrt & Prov;62679383.0
2023;nov;Frais de personnel;46926705.0
2023;nov;Frais divers de gestion;29623647.0
2023;nov;Impôts et taxes;4474548.0
2023;nov;Transports et déplacements;70000.0
2023;nov;Travaux, fournitures et services extérieurs;150489530.0
2023;dec;Dotations aux Amrt & Prov;91130953.0
2023;dec;Frais de personnel;177077855.0
2023;dec;Frais divers de gestion;60775640.0
2023;dec;Impôts et taxes;147484616.0
2023;dec;Transports et déplacements;197441.0
2023;dec;Travaux, fournitures et services extérieurs;-28216876.0
2024;janv;Dotations aux Amrt & Prov;1946679.0
2024;janv;Frais de personnel;48094985.0
2024;janv;Frais divers de gestion;45896432.0
2024;janv;Impôts et taxes;4620925.0
2024;janv;Transports et déplacements;2019300.0
2024;janv;Travaux, fournitures et services extérieurs;143053350.0
2024;fev;Dotations aux Amrt & Prov;2966593.0
2024;fev;Frais de personnel;50617859.0
2024;fev;Frais divers de gestion;74439213.0
2024;fev;Impôts et taxes;3092372.0
2024;fev;Transports et déplacements;3635400.0
2024;fev;Travaux, fournitures et services extérieurs;36757249.0
2024;mar;Dotations aux Amrt & Prov;13705446.0
2024;mar;Frais de personnel;45916429.0
2024;mar;Frais divers de gestion;27178609.0
2024;mar;Impôts et taxes;6166562.0
2024;mar;Transports et déplacements;0.0
2024;mar;Travaux, fournitures et services extérieurs;111792810.0
2024;avr;Dotations aux Amrt & Prov;4371936.0
2024;avr;Frais de personnel;131793447.0
2024;avr;Frais divers de gestion;12558848.0
2024;avr;Impôts et taxes;4787272.0
2024;avr;Transports et déplacements;30451.0
2024;avr;Travaux, fournitures et services extérieurs;59084376.0
2024;mai;Dotations aux Amrt & Prov;4835961.0
2024;mai;Frais de personnel;43487168.0
2024;mai;Frais divers de gestion;15060819.0
2024;mai;Impôts et taxes;3803515.0
2024;mai;Transports et déplacements;1771100.0
2024;mai;Travaux, fournitures et services extérieurs;33012938.0
2024;juin;Dotations aux Amrt & Prov;952996511.0
2024;juin;Frais de personnel;59764618.0
2024;juin;Frais divers de gestion;92931481.0
2024;juin;Impôts et taxes;5275932.0
2024;juin;Transports et déplacements;1303600.0
2024;juin;Travaux, fournitures et services extérieurs;37135068.0
2024;juill;Dotations aux Amrt & Prov;11433716.0
2024;juill;Frais de personnel;73830192.0
2024;juill;Frais divers de gestion;8286286.0
2024;juill;Impôts et taxes;4780841.0
2024;juill;Transports et déplacements;559600.0
2024;juill;Travaux, fournitures et services extérieurs;33627424.0
2024;aout;Dotations aux Amrt & Prov;40537133.0
2024;aout;Frais de personnel;49848846.0
2024;aout;Frais divers de gestion;17304435.0
2024;aout;Impôts et taxes;4396007.0
2024;aout;Transports et déplacements;909600.0
2024;aout;Travaux, fournitures et services extérieurs;99670303.0
2024;sep;Dotations aux Amrt & Prov;217646466.0
2024;sep;Frais de personnel;-69666942.0
2024;sep;Frais divers de gestion;78936196.0
2024;sep;Impôts et taxes;4389630.0
2024;sep;Transports et déplacements;595554.0
2024;sep;Travaux, fournitures et services extérieurs;-1068172.0
2024;oct;Dotations aux Amrt & Prov;-18656366.0
2024;oct;Frais de personnel;48010917.0
2024;oct;Frais divers de gestion;12284434.0
2024;oct;Impôts et taxes;4810003.0
2024;oct;Transports et déplacements;1585300.0
2024;oct;Travaux, fournitures et services extérieurs;18482059.0
2024;nov;Dotations aux Amrt & Prov;8906130.0
2024;nov;Frais de personnel;50940788.0
2024;nov;Frais divers de gestion;24220999.0
2024;nov;Impôts et taxes;5074311.0
2024;nov;Transports et déplacements;520700.0
2024;nov;Travaux, fournitures et services extérieurs;48081479.0
2024;dec;Dotations aux Amrt & Prov;268860890.0
2024;dec;Frais de personnel;187120160.0
2024;dec;Frais divers de gestion;58008777.0
